Name
انةحري ةحيام ينمهز
رمسي مسيط لحمدا
اىلاغلز دححىسمنم عدصانلعبا
تيحا ادنج صىاف
ىنردبا بدموصدحعامملقد ماىرلغ
يرنا يحكل ءامشي
انيدز انلدي فوافر
ميلم ورعه يوفق
الرزي جيارا شنشاو
لدقس لخياهلر رىب
مسنى مهارب ىمظن
جينرا سمش موضدععس
يمنولف سفوي نهارامي
عسمد مةسا ىغاروم
ادمحىعل ونانطا مدلبحكعا
لحيصاف بسحو يرفةد
رمايا اجدمه ىمصر
خادم خليف ااضىقل
ثملك يجدا اعنقن
ادغلبرقعا وسىل داعم
يشىنبر جينرا رومسليان
فيعقلدشاب يللا دوفه
جروب ديانل ىحممد
ددببعاعملو دحدعماس نيسنحان
سبملوام اشحتلا ىامرلامع
مسلا يمسوه وايده
بينة زيجع زحر
يمن غمنا عتنم
نااه اجهمن نيز
ىوصف ريهنو احمد
يرنا ىاو امحلرنمس
شىاععاشل ءشلفاا ىمدلحببماعند
ناسي دااىالح بيزاد
هعط ىاميجلل فاناص
ماهبر يمنولف نملىاوا
يسمنت دناءضيليا للااغى
نساير ةغدر نامغ
يهفمه ااصيل دمكور
هنيشيار ىداف فيض
اجدمه بادي مزار
عزب خصالا وضهر
ندش غبوص رىالقد
يرنظ المهس اجنلا
حالظ مهايح ارننو
اريلما نىيلمغا تلفا
نمالحر سلنمي هناىت
عجاالسى طازرن دجا
كرفى وحنمدي سدنيا
ولباىراغ ناعن ياقسشتا
كنيوا همساي ىرون
وفبراش حناينلس تىسب
زيةن مطه احمد
اربه مدعاجيرلابلهل اجحلا
ااسلدوى بعير سبيانم
صعر هللاى انىس
سحما دىنسا لنايجو
اتفح امربا فلك
افلقىاذ هوضعي لبايهدعدش
لحمدداكيممبحع يجلم فلعظحدباا
ىمسر علاسهلد زيجع
صجهىتر نوسىس ايسىبحنل
مرابها ريمسة سركتى
يوحره ننهوار مينا
يفصن لبايهدعدش ادميدعانل
دافن ريبك يمنية
ءلعا هزهنا ولعان
وذ الءيى وادعربسلل
سان ةقيرد اجنثنوا
شراللهك بههو بمحيرهمادام
يارني المجد ياه
ىلناواش ىضيخارل يلاد
ىكرب شنشاو سعل
مرلاىس فاراج عليىاسو
بينة نلدودامىيا دمين
سمراوكي لفطي حلدااق
رولنا كمتبلعدبار زشراي
لفسا كر كير
لىلي ماين سنوي
ريدغ رىبح اىجلند
بتوبااع ىفيوان رمهعا
اننمع ىفيوان اسبح
اجادم فهروزي حلسىاما
بيعلمحدعهدابد الرزي مرلىلا
مساحه ترك ملع
ىمك اسهبامر علاسهلد
حنرا بمراهي حضى
يتان ماصع نوميبغا
رضوضاع سيةدر حراب
ناطنو امءزرفلاهةاط نارها
وببنا حاصل دراو
نارى هسماا بدهلالامحدع
يمرحو ىنرايي شنهداا
رعيف ناتسم معزوز
روىلكدار ادلمي يائلع
ففلل وانرجي تابر
اعم ارونالا ززىي
وجن ىاوف مسعنا
لىمس عىنت عشىفا
لواماعى انىنس دموبااح
باصفلى دداؤ مدجن
ديحم مرىلنيا اويلد
رمي علاسهلد ىعيلو
ومبرك دنشا ىليابعد
رااس لدماع يدع
خلياللى خا لبطلا
شىرد اتىسن اسكورن
مريماي ىركز بسويا
رعبدلاااصن طفمصى بهمي
نافير اجسد زعزية
طالسن صاقىلد مبشار
جنا دمماق نمرا
عادبالى خىزالام دمينحم
فارء المه ماهمي
زغلى مالزع يحىص
اىلاغلز عميلادعلب عهبدارابيم
هريطاب يهفمه دبعايبدلع
ادىش رسسيم بنيهاس
ىزكا ءامشي ىصولح
الحجىروا يعس هدنلااي
ابىوارلد لكصقايبدر قاىلساعنل
اتادس نفمص لفطي
عضو يمسم ىمنج
راصنلابعر دو نام
يبرش ذكار ناور
ممنحدمعثا يفاهء مثرا
اوىشماعل انيدز رنيما
اللصاي دازهىل لهنا
ىاولبن قشااو شاشاويل
نغيضا ينفار ميمةا
يحبر يسااريمهبرا خدول
حافعتابل اندعللصرهب لسيم
رناوض بوتلي يادجء
نيمد ودهعب اعمبلعمدوس
ياعىلللا حاىدم اسهبامر
دناهر كارسا مصلخ
اشئهع يورها افرج
اجنثنوا ضريخ مازلتا
ضرهو نودسلاي هءبرا
ماحايددسل تشمح نمىااولب
زغاى مرمكا فا
صةفد نباير مدج
اننح تسبان لرزياو
ميهرس هالبهله هوحدي
فيعقلدشاب مىحمتفحد لوىدج
اتيزن تكشو حومرس
هللي نالي وتسمر
مادج دياا ةيا
الىبقر راحج ءلاق
كىتسير بلاداى رهساال
دوودا يدس كميل
رشوا جااشن كفيه
ابر ئال لدماع
يحبلفاادسداظعل رباش اوىشماعل
نرهناوي انلئ انج
لحمدياسدا كر ناكازيش
ىسج ةقيفش ؤيره
رصن ياسر مدنوىد
اروليئف دنياا امهولبا
يممت نيضال سي
اتلسىاد مفرش الحلصاى
ةؤل ياام حمدوبام
غبوص ادبعوادلج شبوهر
سونس ىصبح عةور
همان افةظح عبقه
سبموا ىطنو سملم
ارسي يدرنن وعسىداال
ءانس علندغباى ىزرباكو
راحج عاجم باموحمنلىد
وىلسكماات دمينحم ىابرر
طفمصى فؤدرلاعب البساع
اعباوجلدد ايعلناء مسلي
واكلش وعدالدوجبم فيلها
اهارز اجهمن عهيل
اشحت ادعب مرتاي
ازل ىياسلعل عسدوى
روىلكدار وباابن يفرهاشل
اددحمحمم ربكىال يرلات
دياا ىعباس ميسح
حسماىمدم حةزم زرحي
عطعوط غافنر دحامة
رهتالع زهدا كازن
يردان البيلاسدزا ماقلب
ماحايددسل لسر موظمل
الليى بللا دنياا
سهلبه لحيسان ششععابوي
بنارج تفع رهمفغ
دابلاعل ديخل ادههي
شةتح انفعيلرا اروعش
داسيلا لااززامى رحب
يمسم ينعم اىبدجمتعالل
عممدت دضاعحىممول تهجم
لياءع سالق انورل
رةضو ارنبع للزيا
حويرة سنرب ىم
داسيلا حشاو هامنييس
ادقليداربعدسلا راللزجعا لهنا
هاوالىبن احتسيلى لاكئىسا
نرجىف برح سيرة
حوفتة بينة هرنص
عهرف ااسلدوى يلاد
ىاولبن ناشرو ةيدر
حايرب شنيال هاوالىبن
اميهاير ظحفى حفذيه
صىق بنيهاس مسيط
فرسا يرنظ لبوص
دمين هميس ازلي
هرشمي قاار هيبه
هدةي همان رفيس
اشد ريحا انم
شراف ارملني وهقري
ورن انوار ددرير
قاشرا واىفل هاردي
مالاسيلعد بسيعابحلدب لارمن
رتي ااس زرق
قصده رهمفغ ايزم
ورسالل رثدم دةوعب
مشلا كامبرس ىراش
ىهديو مكثا لاموكى
محاغرمودىم لارثدعابو نانا
ىاميجلل يهفمه لنداواىدمد
مدنوىد رشفي ابءه
يليزاد جرهبا فضي
ماشي دهان لاميه
اسدال اهدع امهولبا
جناه يةفك ايرلسم
نالي ىعباس احالجج
كبر عمضو ويادنس
مجبنىداعلا يشعف نلعادبحنا
ونرلا ىادن صةال
سي ىقلو اتبث
نةوس هسرا يارا
بنغا لسيداة عمسعادلبي
غنلاىا لدماع حيلمه
رقيف برىابرل اىلبيل
ىبيف هويد اراسلار
ايعلناء جبا نبسكا
جنا هحتوف رامي
اوادر بوهااشب هنيشيار
مزير عبدةا دوفى
ااصيل ابعدمظعدمحميل عوضىلا
لبان خري عطىو
نحاوى جنةل باعداعلل
اجلوري نوهتا وابييلتفر
نيسد ىاجن ئيملاصو
دححىسمنم مسةر هافقي
حمد ايزهه يوفق
اتلسىاد شقلىام ببدهعر
دلاسىيلع افلرشحاجعت لااتسلق
وصنغ لِهعدبلا رشفي
يمرحو لدالدبعع زفانر
نيز اايدمعبنل ةن
حيها نار فوةردي
ىكمل ناد اجسد
ئقفا ركالا يتكمر
فضلا بلهوالل اسردي
يائلع انوز يااعملز
ظمان وززو مناريف
وىيلبام تهباز قشيهف
ازالعرقبد يلةع ىشبح
اضءوا صلاح زعزية
ورفؤ ادلمي حنسلمديابدلعار
ىالرب اهىب ةعيدس
طوخر اسهبامر عبهلز
وهنر فيض عدس
ىمن كعلوبلادي جىمد
جابر وضهر ةطافم
هيبه طازرن اناج
ياةح مهحسي ىيسر
ارفوق هبى رائط
ضرفعاباردغلا نوفضل ميانر
هميس قنودح ىنرايي
ىدع كرفى نانا
عسدوى انبريؤ مدلبحدمالوعمى
دما بةشان هنغ
لانسيتحا حنادم ايتا
دشا ااملىغز دعموس
يكانر فى وذ
سهجد ولفي اهزتم
م شديروخ حلايم
نالي ةنيادم يتكمر
ناوازر شنحه مموعرنصر
يندبع ءيمال لمسريىا
ىريش دوع ابدلىحع
لارثمد سجير رمتشفرعن
اىلبععاط الشقوى فيعقلدشاب
يانج خرضاى صلبيحاى
احكام اطمفيا فحت
هوسلم ده اندعللصرهب
واىر ملسناا ااءشملي
ودعب ردسا لانو
يعمن بخيط صىلرما
ديحو يلادعاى دموبااح
اتلسىاد راسيه خضرالى
نريا ونتما دعموس
ىمدلحببماعند فايلعىف البساع
وفمظح بياكرت فلواا
عيمن بسحو فيتو
للمتاو وقسى ونميلا
يوعةض ديخل لهاىمد
جنالي نبىدش دعياه
يامنره مهود ولحلا
جتهب ثملك ىسال
درنسع ىشرلادم نسمي
يورها اكرمامل دهجو
اجدمه رثثو هلبتاا
لعىباس اريلما لحيصاف
ايرلسم رهسك جنةل
اتسير هدازي اشمداىدلر
يلالىجم اىنالزت جعلا
بنيج والحدهل طعا
شحب حبوومماد كماهابر
لااززامى ىنزالي يشهره
لعزيدان ؤولبدعفرا اسسىلي
ااىللف افحظ نلدودامىيا
يادجء رباى ىفدو
رثثو مدىانل ايرمه
انىن ىولتم ينمر
ا ءامسا رشا
طنما قىصطم لاىبعر
يجدا طيلىبا سةماا
عمزت رمليا ادسهع
ياام ناادلي دراو
ىل عمافطمحد اننمع
ونره اربرا ونرياد
خلياللى فؤدا مموعرنصر
ورلامي يشده ففلل
لقاون شارقت للعدا
ىنتيم حيمدحبمدعداال جااشن
مناريف زبالبزدعع يارا
نباوروا نودسلاي دافء
نىيلمغا اكىلرذ ايبرنص
دياملعدبا نزيه ساايربسن
زحر ادلبادعح وركهبم
ممساي باعبور شامه
ديرى دياملعدبا حودممى
حمى دحدعماس انم
لاموكى ناكازيش ونرلا
خرطا ىنزالي يسنوم
الوصبدرعب باعبور شكرا
مزتما ببشا قنودح
لضخار راصنلابعر ابهو
يارا ةؤل ويىسع
رجلايدامك يتان كمر
دىرداريل صوال سكريل
لحااملي يرتاج فيروااد
شباع لساهنوباى ىفيوان
عدسه حيهمد اسكورن
ويىسع ودمعاى ايلن
سرح وانرجي ياغس
طدلعبفحمدلميا سعافن فومعر
هناىت افتى ماساوه
فتبحلاعدا معرا يلىواش
يفاق ىنزالي فااسي
دبسور هفادي اياهب
ماصع الرزي ابهو
لتجما ريناهام مبلدععواض
يينق يلعادس ازهيف
االلع سابىل وعسىداال
هلاال بءرى كير
فصى حبوومماد هجبي
يلبمحادلع كلواىح غابيلر
فلك رميع لارمن
دبلرعايزع ءهادا ارمم
عيدس وضهر ازنيى
بماولمو اءل لدماع
لاسفي ريناهام مسعنا
اجسد رباى دويحماسف
رينم يلراف جىرا
يجدهخ ذكنى ضفلي
جللما دهةشان رقيف
رقىف مساح صحب
ربىصلا نفاصياز شوال
مزار ونتما ىامرلامع
ةدجو ىنحصو ناسح
عالبز ءنبا ييوترش
انسحب وىادعس نو
يهبثن اكذيرل ىلماطعا
راشب اريلما ماحلمعددب
نو اديف سيركتن
رءفو حنجا لعكداالبم
بطاح يفصن يىللادب
رهني مساح عببرةد
كاشعة وثهر زرحي
داغزينلر دو بودى
ىحاضل وصنغ نةوش
اخضوبري مجاد ماعص
غلزا هفيو مرلىلا
نيارمجي هانيم ااءسر
تفارح ذكار مائو
نهايا طدلعبفحمدلميا ئرسي
نيامر لخياهلر مشلا
ةسرا ىنردبا رىميانلغ
نوهىاد مىرض ارىضلا
انريم يمرا صىلاديع
عبدخزافيعهزيلل لبلبة للااغى
قرية راضني مرلىلا
راحج يةمحد فاظر
ىحمي لماك اوادر
ششععابوي ىالاعريساقدل صرنيب
راامك توهب رحيق
سمهن لىعو دحم
فتبحلاعدا هريا يسنوم
ىليكانال مرةوا اىلوسلا
يعدوب منع هسماا
غاسن يكارمل فادن
ىيدعب نودسلاي زرق
بخيط رههج ددعملمعتاب
رشوا سةهم دحم
ىشبح عليىاسو نلجهالة
ملصح لرباعدقزا مةسري
ىدحم عبيش ينبله
فاخر ممسسوكي ميون
غبززلعديا باموحمنلىد عميلادعلب
ابدنر جونان مىلسم
ياغنطالى ىنغ نيفارنا
نهارامي مريللىا نلدياج
رىحم امحد باخةط
قشااو يدعسرو عيمهن
شابه علاباتعلمد خلخاضرلضار
مهرس اىلوسلا اهىد
جعمللايدب المه هردغ
ااوصخل ادىش صحنا
زحر دوفه لراضا
رلابوققى ريهشك سيماين
مرسى حنسلمديابدلعار ومارن
تاري انصعر ددرير
عباشافلدى ئيمخيال جوزىاباح
وزىقلامر يدلاان مكحه
ساومباق جويزف البا
وعدبال مَنهّ همنيا
ايندر اذك ومبرك
ادنيل نباير انوار
رثثو صتالة دجوان
ماصع ءشلفاا ةمناي
ودعلسا ااتمهيب مبدليدعجاا
ضاري رافقال اتارمح
حيبةب هلبتاا انجن
فرونالد اعيد ارنعف
حيها تانلاص لدايهانءب
دسيار يصال دوجيه
عنلمبعمدا لحيصاف عهرف
ودمعاى ىجدما فيزوة
ىشبح داز طوعة
ويلرن يدلاان ودلاىنرا
يدحدسما وتىن نادر
نيوس موضدععس حضى
دعانن فوىز سهحن
م مهمل تاشن
لحيصاف ليناجلىا ايلن
ورقش بهوي ايندر
ىحمي مسيه مطه
دعىس دههش ياغنطالى
سدعاا لواماعى ماتلمعص
ادقليداربعدسلا شلوبىجرا ااير
باهلى جخيدة نده
يامس مونرص فصحي
لصحى صجهىتر قمر
مالىهتا جخيدة اصدم
لاميه زايف بويلامانس
يمرا داملحله دححىسمنم
حامعبلدبد غمالاىر لوىا
خدافرنيل ىنتيم مزتما
يمسا طىفل قصلااد
حوملالى قيندح اتلسىاد
قىصطم حنرا نييفن
انلدي اومىنجل لىوااف
فاناص تاسووثيم سدعا
حاتدم يحىص وبىدال
ريناهام رناوض ايمد
ىاسبلم مريماي فلعظحدباا
لسماي لىامحصل وىادعس
واىر مدحان اضح
فيمعو جوناما هدشهون
بان شراالىك نزبي
ادبىلاعهد اىلف ومبلق
ديونارا ومهر دبعايبدلع
ربكىال ةغدر حنجا
ىليابعد ناىفجر ازل
دوعه وعبلارند سدعاا
مضرنا ارقت قاار
شهاند عدالبعىاد ورلامي
لاموكى راوافن رلاا
حدلبعاق جفرال لنىاجم
حرابة نوميبغا هدمراحطم
جما لضخار صهبي
رنمليا لحمدا هلبتاا
دزاب بالنمطعبلد تحقى
يحىص فحمر ويلسنرا
يبعر بطل منكي
لدماع ادمحىعل سىرنا
كرفى مليح ونسيلاج
طلواىابل لموراه نوزار
مدىانل انورل نانا
قىدسو هديامن وحيرة
يدمه ىضيخارل ايلن
احتسيلى وةرن اورة
مضرنا اعامن رمىعال
يرناامن ةلليج ادلهما
ميجهد دجا الحلصاى
يشدد الموداىر يامن
لمترىاض يعماطةدح خرا
علسبىاا كرفا ماصع
اهةينل لباغ الشيعا
لبىج اماغن ارفوق
داعريدببل نسهي لدوت
دلاقاحج هنال ايرلن
معةرا اينعىبسل نىدوم
لىامحصل نيارمجي ىقلو
كعلوبلادي يدلو الليى
دهمح النسمي رشا
رءعدوبلاف ىوللشكا ىيمم
سيةدر تهجم ديلاعجللب
ئهر داوادر سلدياو
يلحر لىعاابت ءداع
يهبثن احوىمز لابىسرل
قهيرق رامع ىحلاج
ميرام افةظح لعحدسابم
ااكيت وحهنس اوجيل
مستجري يمهف مصاي
امتسو رىميانلغ نؤسم
جينرا صفهح خدافرنيل
جشلاىوي ربىصلا عدجلدباي
يائالرف رىااومغل اتنج
مةحيد سهجد هعريم
عهلاي ابىوارلد نرهناوي
يدىهو كازن دموبااح
خله امس اعم
زاحم ىراش يبمج
بىازعل سهر يمسم
مسرا بيهادوبع ديسال
صمحب رمس زحر
ولاان حىور ياام
لعاجارم عاس واىفل
ابدلىحع اياهب ايوقت
لرزياو جابر ونزك
ندغرو ونحاىلا ديبع
سدعاا نتامع دساعرلباتا
تهحي وخنشي جلام
فاراج ادقليداربعدسلا احل
فيسان ريمسة لوهبل
يحكل وذ رهقيد
دحدعماس االرعى عاس
جنةل خري ميااز
بداوحعديل بهمي اهىد
جمدا ىاف ويارسنن
ببهيل حمدوبام اتفح
دفةير يعاطا سان
صيهف جشلاىوي شلوبىجرا
دافء ةطافم ىدياول
رعيننو للعدا رناهد
اندرىدلوا عددىالببم نهاج
وادعربسلل ىدعسال ندا
بىرج دلننايرو رضخ
نودسلاي وسير صوال
خري هاقير اانر
ماسح ينفط رىاكام
ةغدر حودمم صجهىتر
احلاسن ريمم ماديلحى
اسهيم يدلو سلدياو
لعكداالبم نوهىاد اربه
قالداهعبر رباء احلسن
نادر دوجيه عافطو
ديقع لسلاط ىملراس
ارىضل ورماي هلا
رتي صبمرنهوعد فضلا
باعبور اددر غزولل
سان نلهولرا زههير
سمق يحيى لان
حعمدسمومد ىقشو لدسعا
امباشوه سعل نفاصياز
نسالمى الىنظا لِهعدبلا
عللاىد دقصا ةراي
رهساال ابابه يفموحسمد
هنية جمن ميددمعح
غنبملادعى عزب يطبس
مهرس دافن شراالىك
اشئهع ياغنطالى سونيرن
تانرم طعا غابيلر
ىدحم ثكولم ليمس
يات حنىسي عطعوط
يفس اشهر وتفع
حودمم يادجء ئقفا
عىسولا رابىليش الااسي
جرهبا نودجا حنو
امنايير حرابة نرهناوي
شةتح اشصرلىاب ريهشك
حنو يسنوم ددبافعولددايو
غلزا رهولنن ابصر
حقؤت ارنبع ساام
اتنلىجا اسمرى هريطاب
قععلااق ادسهع يماةس
امنر ولار فطاة
شوال لرباعدقزا سفوي
حرب ةادهي ىيردش
ايرنه تسحابي ميفتر
جوناما ازتايم نهاد
اههل ةحيام ونرلا
كفيه وجىر يمهنم
مةسن يهفشر منز
مءاير ونميلا عا
وعدبال يبمحلعااد دفعوارؤبل
اىولدسع هوحدي مرلاىس
اهبم وراى هوسلم
بطاح نفاصياز هيني
جمدا رناهد بداوحعديل
ولباتىلم انىظل ؤبادعدهف
رهتالع نسلحيىا ةخلفي
معنا اسمرى حمبيلمدمداحدع
همهج اوءنر نرويا
بيزاد اانر سمهه
صرق مزار رسي
سالق درلعبكماي ىسال
انةحري يببح لناضبغا
ىبيف لفطي يبتش
اجىني علاسهلد ةيدر
دبحيماعلاك نوفضل جنالي
يائالرف انسحب اماىحدل
الليى حرابة مرلاىس
رهام لنديا اىكزل
ماصع نهري عيطىف
افسالين ابر الىنهوام
ئقفا ثملك ارملني
لدوعسناى احلاسن لفاديعطلب
كماهابر ىوجن بللا
ةمكري كازن ايهم
ةدجو عببرةد بلرىشان
لعزيدان لفاديعطلب دياا
بةشان شيهر يةعط
واتجن مكحا ناور
ماصع انوز ترخما
هوسلم العميما جنةل
مندرو نيشر بيهادوبع
رابىليش اتفح ااهلحم
لىؤ ميلم دحنمي
ززىي جارون حبنس
ترك مزار وززو
سهجد عبدخزافيعهزيلل يرهدب
دنوج ىم وارلك
ةامن ىنوفحا ونزك
حاهرب معتهز مالظلمو
وابييلتفر ىبيف ااوصخل
ينتاويس يمرا امتو
ميسار شنيال نداج
ومىالراط جلام اهبم
جلبلاتاى نويرن غظاي
فارزو ةيمدا امقحى
حنا افةظح رامع
دعربلاب مته يزلاعدبزع
وىلسكماات نمرا ديره
سدن حبصام جللما
جيهلل ىملار اضح
اكءذ شيينر وطخىلا
بتهي ونشام انوار
الهة ىند نيارمجي
وفا نوزار ادسهع
هنبشا اسني اىلف
ئهر يمسوه عاادلبوب
مندرو رؤيا معر
لنهي اشيهنر دوجيه
اعمنر ديانل سينله
دافن امتسو زفانر
احرلىب مبرم ادقليداربعدسلا
شتقياا امهف وصاارمعلى
قصىد دزاب مرلىلا
عمهج نعراس كرفى
رءعدوبلاف ىركز ده
ةيدر بللا الاءمشب
ناب قمر اوناسز
ييوترش نهايا بريسس
يبلن تارج ياسر
يشىنبر ستبحي شبىر
نارها ابعرتلساد ماين
برىابرل ضفلي ىنهد
هلاال اننح شرياىدلم
تهشحا يشهره ىنزك
اوناسز ماسل اننح
جونان يزاوبد معغظبلياد
يفرهواد بمحيرهمادام ىيح
يهخري ىضما فجخاى
ببكيير كامليا ل
اللددككتتوور مماارججرريت رها
النادى عطيه عبدالععزيزخلييفه
ابو مككرم حفنى
الدردير ددان ششاكر
مكى ححرربى فواز
ششداا اسرر رحان
عمران الممنسىى ههديلل
عبدالحااكم غغلاب رضضواا
الزهدى جووماننه قزاممل
ممحمداالدسوققى ميكائئيلل ععلليوة
هميسس جورجج ععبدالننظوور
فكييهة شذا رئه
مشالى مهجهه عبداالمننعمم
ايار باافلى شهد
عنان سسارى الفرح
ٍٍسسارهه ممعن ججنةةالللهه
دييلانا ششفييققه رؤووفف
ببخخيت ججندى السويررككى
ووفققى رنوه ييوسفف
عبدالجواد الفضل بهييج
البرعى االجمييعى يككن
رغددهه المررششيدى جوههرى
الفهمى المنسوب عترريس
ااسيل سسعداوى رراففى
ززهراء الزممززمى العربى
هامييس ممارفى ععببدربة
الغالى اللوول ريم
نوراللعيونن االصيادد عطوان
للاارا سرمدد فوده
ميشيلل ميللااد ززهيرعببدداالحممييد
العاطوننى ندين معتصصم
ييوسستينا ييسسرا ترك
شاممل رجوه نوناى
يلال جوزيف االعراقى
اللعززيزى رحييب سجدةة
الببحراوى هوويددا شلققامى
مؤيد الخير صيياام
عرفة اسراءء الغول
سسم مياسسم مجدى
محمد حممديننوواا ععلمم
مارتن فكييهة طلعتت
ززرعى العككاشة عواططف
العننانىى رضى رشاا
ععششماوى حوييمد عبدالعااددى
اشجىى عبداالممنجى االحمولى
شكيب ففاهم عبدو
صصللاةة للوجينا عبداالججيدد
ححرربى سوويددان فتاح
جاامعع روحى الححمييددىى
رشاا ففاييق رههام
ششواددفىى الزهدى عبدالستاار
كييففنن الغمراوى البرللسى
ححليم روهندداا حمددوونن
عناانى عوفف ككيشاار
ممتتححتت ففكريه حور
سوزاننا رحمه رييتتاال
رضاعرفااتت غصونن حسسبن
اللسسييدعبداللرحممن اوولان عليم
يونانن جلاله عاصصم
جياد المصطفى نيفين
عبداالمعوضض عطفى الزياان
دالليا عللييوه رمسيس
ررءءوف شووق فطين
الباششا ماركك سوويلم
ررياان ببخخيت ريحان
عبداالمنصف رغددهه استقلال
باننسيه همسةة ممستتجير
ممححججوب مسسلم سسعدهه
عا مندور مى
فضضالله ابووببكر علية
ممنذر شبانة لاناا
ميمنه اللعببدابو ابووقصيبه
ااييتن جانا ساراا
اننججيى اللششيخخ الددندرااوى
مرفت ججمميان فكرى
رراقتت ححمتتو مرققص
ممصبباح تونى الرميصاءء
رائدةة مصييلححى العامرى
نييازى ززهييرهه سيدان
شيين عبدالموجود ففلورنددا
تامرر البكررى حاشد
السيدد ااممر سولافهه
سممييرمحممد هيلن ععبدالححمييدعبدده
تتووحيد طعيمه النججدىى
اللدديب اللددوواادى بههرام
ننرففاانن سسلاف الكوش
مصبح ممحمداالدسوققى غدىى
اللساادااتىى حممييدة رجوه
رواايدداا عطا الجنيددى
باسل محمددعبداللحمميدد الهرميل
ففكريه دوويك نمر
هاتمم عبداللححسسيب ججاببر
االسممنووددىى ررياان مصصدق
عطا ففاخخر االلبااززالسيد
عبدالرافع ما رفانن
االغغنيممى مننصور اببهاب
ريهام علا بوللا
ممااجددىى رراندا اارمانيووس
مساعد مارريههانن منهل
عبدداللروف ننادى ههاننم
الصبااحى روفهه اللاممباابى
منتهى ععررااقى ددان
ردينهه ميررييت عبدااللبصيير
رييامم مصععب الخخززامى
الممواغرى ررققيةة شرين
جابب موورين ددنيا
ذكاا وطنى حذيفهه
خاطر ايادالدينن االاء
معتصصم بومددين ميساء
لاناا ععبدااللمهييمن بسسيطط
طيرالوواادى عابرر ااححممددعطيةة
ععببدااللناصر اووسامهه ععطوى
غصونن العمايم ععطوى
اللططنططاوىى صفوان رروشان
غنه طايل روفانا
رراففى نااريفانن عبداااللممججيدد
احتررامم مجدى اللحممزاووى
اللدينن ممحمدععووض فريال
مونندى ايتااء نازك
نادر بسيونىى رودينا
السوقى ففكيةة هنرى
االكرييم درية اازهر
ششمييس كامليا االلازمازىى
ميان عبداالمهدى ثااببت
روناء اححممدداللسسيد مختتارمحمد
نيلللىى يثثررب ضيا
صصباح ننبااءء نببيية
اامن بيومى عمير
ممينوو عايدة قاابل
ففكيةة اللمعد بددور
االاسدد هايدى ارينى
مهجة عببدالحاففظ ششكر
نااججى هدباء االلزههراءء
نوناى فدوى اللعميرى
رؤية ااساممة عببدالرووءءف
ططنيبب ياسمينة اللوول
نناابغغ سميرةة المحجوب
االلاسنااوىى هادى البكررى
ررسميية يااسميينا ابر
هيياا الححصااففى الدسااوىى
مررسىى مررشد طيرالوواادى
مدحتت اسممااعببل ففووزىى
عبدااللـه صريح حيياه
خضرره ننيياظ االسعدوننى
ززوببه نسمت اقرا
ششااهندا ائل ححجاز
راننىى قدرى محبوب
فرراانسسوا ككريم بهااءء
كيففين الللـه خخيراالله
ممييخخاائييل سنوسسى اعتمماد
الععجمى عبيدو شهندا
ننصرر مهجهه اطووار
ععببدالاممين بدير سونه
ععصمت النبى طاهرطاههرر
غيث طاالب كاميللياا
طاهرطاههرر مرغننىى الطاف
الشربييننى فكرى صبيح
عببدالغغنى ششدوى سسوزى
فيصلل االنججا غغلاب
الممحمد الععددل عبددالممعطى
جلبىى االححسسنين السداات
اللبطل عوده للطيف
العززم ريتاجج العباسى
عااليه البهنسسااوىى الخميسى
ننادرين اللييثىى الجيلاننى
ففارروقق ثثروث عبدالظاهرر
صلييبب رجاء ابورريه
ادرى الهرميل غزال
ششبيب شوقى عزجاداالررب
حليمه فررحاان عددلىى
ففارروقق رووجيينن احمد
اللععطا ضيمر جون
االسبع نيياظى سلومهه
ربى ددسووقى ررووانند
عااييد حففظظى حكمه
بلسمم معنزز حووراء
فووززان النناددييه حرييص
البكررى ننافد العبسى
ااسممر سماسمم القبارىى
داانهه حسبو الااباصيرىى
درية الخير قدرى
االلااممييره ببههلول اللقدووسى
نيلللىى خضضر الصفدى
االلمعراجج يمةة ججزر
سماارةة الجريحى اللددوينىى
هميسس اللدييااسسطى سنية
بثينه ووسام االكيلانى
ففايده حككيم اللشهاوى
كيررستىى مهاب مككين
الشععرانىى الكحلاوى ففتتنه
سبيلل اابووريا نااصصررالعرب
عططوةة مييرفت محمدداابراهييم
الليل االاء كلاررا
جببر دانياال ممدككور
رندا سممييرمحممد اببويكرر
ناديين المعداوى الفروججى
الببسيووننى شيرى رغغد
تونى ططنيبب الوفى
خفااجىى شرييهان ععوضضين
بازيدد النججدىى فريدة
نااننيس ببساادده سييدههمم
االننحاسس سسنيرر بحيرى
ننيياظ نظظمىى اببوخخلليل
اددهم اممادده ممحمداحمدد
ابووردده ححمددونه ههدداية
ررمززى وائل درية
فراج العربى السساانوسى
رراندا ابووششاوور حاففظة
اقرا ذكاا ذككىى
حسب االلذككرىى العباسى
ماريتت المصطفى اييوب
ححمموده عدييلهه الههمم
خللود ععددلان حيااتت
اللجارحى الشععرانىى الهنداوى
منججد نسيم رمسيس
مششكور عبدااللغفار غيياث
السبد بطه اللححاجج
منتهى عليا ددميانن
مححموددىى اادم شححتتة
ممادح محمددعبداللحمميدد ندير
للبنى تالاا اسستتيشاق
االحاارببى رودينا ساممح
ججبريل تراد ااققبال
ممتتححتت اننجى رااضين
منددووه ععبدداللحليم ااشررااق
يمنيية مريم للاارا
اابووريا الصصااللحى عبداالمعوضض
